description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
3 Socket	1				100	16	362	12		2	"jave,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=3"			99	tri-stats1	50		0	10	tri-res1	85		0	10	dmg%			50	175	swing1	95		20	55	allskills	50		0	1	tsc																																																										0
3 Socket	1				100	16	362	14		2	"jave,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=3"			99	tri-stats2	50		3	10	tri-res2	95		5	10	dmg%			50	200	skilltab		2	3	3	allskills	75		0	3	tsc																																																										0
3 Socket	1				100	16	362	16		2	"jave,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=3"			99	tri-stats3			5	10	tri-res3	95		10	10	dmg%			100	250	skilltab		2	3	3	allskills	85		3	6	tsc																																																										0
3 Socket	1				100	16	362	18		2	"jave,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=3"			99	tri-stats4			20	20	swing1			100	100	dmg%			300	300	skilltab		2	3	3	allskills	95		6	6	tsc																																																										0
																																																																																																									0
3 Socket Orbs																																																																																																									0
1 Socket	1				100	16	362	2		2	"orb,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats2	15		0	5	dual-res1	15		0	5	cast1	15		20	50	sorc	15		0	1	allskills	15		0	1	tsc																																																										0
1 Socket	1				100	16	362	4		2	"orb,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats2	20		0	5	dual-res2	20		0	5	cast1	20		20	50	sorc	20		0	1	allskills	20		0	1	tsc																																																										0
2 Socket	1				100	16	362	6		2	"orb,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats3	25		0	5	dual-res3	25		0	5	cast1	25		20	50	sorc	25		0	1	allskills	25		0	1	tsc																																																										0
3 Socket	1				100	16	362	8		2	"orb,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats4	35		0	5	dual-res4	35		0	10	cast1	35		30	50	sorc	35		0	2	allskills	35		0	2	tsc																																																										0
3 Socket	1				100	16	362	10		2	"orb,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				cast1	45		20	50	tri-res1	45		0		tri-stats1	45		0	5	sorc	45		0	2	allskills	45		0	2	tsc																																																										0
3 Socket	1				100	16	362	12		2	"orb,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=3"			99	cast1	50		20	50	tri-res2	50		0	5	tri-stats1	50		0	5	sorc	50		0	2	allskills	50		0	2	tsc																																																										0
3 Socket	1				100	16	362	14		2	"orb,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=3"			99	cast1	75		20	50	tri-res3	75		0	5	tri-stats1	75		0	5	sorc	75		0	3	allskills	75		0	3	tsc																																																										0
3 Socket	1				100	16	362	16		2	"orb,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=3"			99	cast1	95		30	50	tri-res4	95		0	5	tri-stats1	95		0	5	sorc	95		1	6	allskills			3	6	tsc																																																										0
3 Socket	1				100	16	362	18		2	"orb,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=3"			99	cast1			50	50	tri-res1			0	10	tri-stats1			0	5	sorc			3	6	allskills			6	6	tsc																																																										0
																																																																																																									0
6 Socket Staff																																																																																																									0
1 Socket	1				100	16	362	2		2	"staf,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats2	10		0	5				0	5	dual-res1	50		0	5						cast	15		0	20	tsc																																																										0
1 Socket	1				100	16	362	4		2	"staf,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats2	15		0	5				0	5	dual-res2	75		0	5	sorc	15		0	1	cast	15		10	30	tsc																																																										0
2 Socket	1				100	16	362	6		2	"staf,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats3	25		0	5				0	5	cast1	85		0	5	sorc	25		0	2	cast	15		20	40	tsc																																																										0
3 Socket	1				100	16	362	8		2	"staf,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats4	50		0	5				0	5	cast1	95		0	10	sorc	50		0	3	cast	50		25	40	tsc																																																										0
3 Socket	1				100	16	362	10		2	"staf,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats5	50		0	10	tri-stats1	50		0	5	cast1	95		0	25	sorc	75		0	3	cast	85		40	40	tsc																																																										0
3 Socket	1				100	16	362	12		2	"staf,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=6"			99	double-stats6	50		0	10	tri-stats1	50		0	10	cast1	95		0	25	sorc	85		0	3	allskills	50		0	1	tsc																																																										0
3 Socket	1				100	16	362	14		2	"staf,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=6"			99	double-stats7	95		3	10	tri-stats2	50		3	10	cast1	95		0	25	sorc	95		0	3	allskills	75		0	3	tsc																																																										0
3 Socket	1				100	16	362	16		2	"staf,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=6"			99	double-stats8			5	10	tri-stats3			5	10	cast1			10	25	sorc	95		1	3	allskills	85		3	6	tsc																																																										0
3 Socket	1				100	16	362	18		2	"staf,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=6"			99	double-stats9			10	10	tri-stats4			10	10	cast1			50	50	sorc			3	3	allskills	95		6	6	tsc																																																										0
																																																																																																									0
2 Socket Wand																																																																																																									0
1 Socket	1				100	16	362	2		2	"wand,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats2	10		0	5				0	5	dual-res1	50		0	5						cast	15		0	20	tsc																																																										0
1 Socket	1				100	16	362	4		2	"wand,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats2	15		0	5				0	5	dual-res2	75		0	5	tri-res1	15		0		cast	15		10	30	tsc																																																										0
2 Socket	1				100	16	362	6		2	"wand,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats3	25		0	5				0	5	dual-res3	85		0	5	tri-res2	25		0	5	cast	15		20	40	tsc																																																										0
3 Socket	1				100	16	362	8		2	"wand,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats4	50		0	5				0	5	dual-res4	95		0	10	tri-res3	50		0	5	cast	50		25	40	tsc																																																										0
3 Socket	1				100	16	362	10		2	"wand,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				cast1	50		20	50	tri-stats1	50		0	5	dual-res5	95		5	10	skilltab	7		0	3	cast	85		40	40	tsc																																																										0
3 Socket	1				100	16	362	12		2	"wand,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=2"			99	cast1	50		20	50	tri-stats1	50		0	10	dual-res6	95		7	10	skilltab	7		0	3	allskills	50		0	1	tsc																																																										0
3 Socket	1				100	16	362	14		2	"wand,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=2"			99	cast1	95		20	50	tri-stats2	50		3	10	dual-res7	95		7	10	skilltab	7		0	3	allskills	75		0	3	tsc																																																										0
3 Socket	1				100	16	362	16		2	"wand,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=2"			99	cast1			30	50	tri-stats3			5	10	dual-res8			10	10	nec	95		1	3	allskills	85		3	6	tsc																																																										0
3 Socket	1				100	16	362	18		2	"wand,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=2"			99	cast1			50	50	tri-stats4			10	10	dual-res9			10	10	nec			3	3	allskills	95		6	6	tsc																																																										0
																																																																																																									0
6 Socket Polearms																																																																																																									0
1 Socket	1				100	16	362	2		2	"pole,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats2	10		0	5				0	5	dual-res1	50		0	5						swing2	15		0	60	tsc																																																										0
2 Socket	1				100	16	362	4		2	"pole,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats2	15		0	5				0	5	dual-res2	50		0	5	tri-res1	15		0		swing2	15		0	60	tsc																																																										0
3 Socket	1				100	16	362	6		2	"pole,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats3	25		0	5				0	5	dual-res3	50		0	5	tri-res2	25		0	5	swing2	15		20	60	tsc																																																										0
4 Socket	1				100	16	362	8		2	"pole,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats4	50		0	5				0	5	dual-res4	50		0	10	tri-res3	50		0	5	swing2	50		30	60	tsc																																																										0
4 Socket	1				100	16	362	10		2	"pole,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats5	50		0	10	tri-stats1	50		0	5	dual-res5	85		5	10	tri-res4	75		0	5	swing2	85		40	60	tsc																																																										0
4 Socket	1				100	16	362	12		2	"pole,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=6"			99	dmg%	50		0	375	crush			0	50	tri-stats2	85		0	50	tri-res1	85		0	10	swing2	50		50	60	tsc																																																										0
4 Socket	1				100	16	362	14		2	"pole,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=6"			99	dmg%	50		330	400	crush			40	50	tri-stats2			0	50	tri-res2	95		5	10	swing2	75		60	60	tsc																																																										0
4 Socket	1				100	16	362	16		2	"pole,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=6"			99	dmg%			330	400	crush			40	50	tri-stats2			50	50	tri-res3	95		10	10	swing2	85		60	60	tsc																																																										0
4 Socket	1				100	16	362	18		2	"pole,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=6"			99	dmg%			400	400	crush			40	50	tri-stats2			50	50	tri-res4			15	15	swing2	95		60	60	tsc																																																										0
																																																																																																									0
4 Socket Weapon																																																																																																									0
1 Socket	1				100	16	362	2		2	"weap,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats2	10		0	5				0	5	dual-res1	50		0	5						dmg%	15		0	20	tsc																																																										0
2 Socket	1				100	16	362	4		2	"weap,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats2	15		0	5				0	5	dual-res2	75		0	5	tri-res1	15		0		dmg%	15		0	50	tsc																																																										0
3 Socket	1				100	16	362	6		2	"weap,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats3	25		0	5				0	5	dual-res3	85		0	5	tri-res2	25		0	5	dmg%	15		0	75	tsc																																																										0
4 Socket	1				100	16	362	8		2	"weap,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats4	50		0	5				0	5	dual-res4	95		0	10	tri-res3	50		0	5	dmg%	50		25	100	tsc																																																										0
4 Socket	1				100	16	362	10		2	"weap,rar,nos,eli"	tsc						"useitem,tmp,eli,nos"				double-stats5	50		0	10	tri-stats1	50		0	5	dual-res5	95		5	10	tri-res4	75		0	5	dmg%	85		50	150	tsc																																																										0
4 Socket	1				100	16	362	12		2	"weap,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=4"			99	dmg%	50		0	375	crush			0	50	tri-stats2	85		0	50	tri-res1	85		0	10	swing2	50		50	60	tsc																																																										0
4 Socket	1				100	16	362	14		2	"weap,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=4"			99	dmg%	50		330	400	crush			40	50	tri-stats2			0	50	tri-res2	95		5	10	swing2	75		60	60	tsc																																																										0
4 Socket	1				100	16	362	16		2	"weap,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=4"			99	dmg%			330	400	crush			40	50	tri-stats2			50	50	tri-res3	95		10	10	swing2	85		60	60	tsc																																																										0
4 Socket	1				100	16	362	18		2	"weap,rar,nos,eli"	tsc						"useitem,tmp,eli,nos,sock=4"			99	dmg%			400	400	crush			40	50	tri-stats2			50	50	tri-res4			15	15	swing2	95		60	60	tsc																																																										0
																																																																																																									0
3 Socket Primal Helm																																																																																																									0
1 Socket	1				100	16	362	2		2	"phlm,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	10		0	5	dual-res1	50		0	5	nofreeze	15		1	1	allskills	10		0	1						tsc																																																										0
1 Socket	1				100	16	362	4		2	"phlm,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	15		0	5	dual-res2	75		0	5	nofreeze	25		1	1	allskills	15		0	1	barb	15		0	1	tsc																																																										0
2 Socket	1				100	16	362	6		2	"phlm,rar,nos"	tsc						"useitem,tmp,nos"				double-stats3	25		0	5	dual-res3	85		0	5	nofreeze	50		1	1	allskills	25		0	1	barb	15		0	1	tsc																																																										0
2 Socket	1				100	16	362	8		2	"phlm,rar,nos"	tsc						"useitem,tmp,nos"				double-stats4	50		0	5	dual-res4	95		0	10	nofreeze	75		1	1	allskills	50		0	1	barb	25		0	1	tsc																																																										0
2 Socket	1				100	16	362	10		2	"phlm,rar,nos"	tsc						"useitem,tmp,nos"				tri-stats1	50		0	10	dual-res5	95		5	10	nofreeze	85		1	1	allskills	50		1	1	barb	25		0	1	tsc																																																										0
2 Socket	1				100	16	362	12		2	"phlm,rar,nos"	tsc						"useitem,tmp,nos,sock=3"			99	tri-stats1	50		0	10	tri-res1	15		0	5	nofreeze	95		1	1	allskills	15		0	3	barb	50		0	1	tsc																																																										0
2 Socket	1				100	16	362	14		2	"phlm,rar,nos"	tsc						"useitem,tmp,nos,sock=3"			99	tri-stats2	50		3	10	tri-res2	25		5	10	nofreeze	95		1	1	allskills	65		0	3	barb	75		1	1	tsc																																																										0
2 Socket	1				100	16	362	16		2	"phlm,rar,nos"	tsc						"useitem,tmp,nos,sock=3"			99	tri-stats3			5	10	tri-res3	50		15	30	nofreeze			1	1	allskills	95		3	3	barb	85		2	2	tsc																																																										0
2 Socket	1				100	16	362	18		2	"phlm,rar,nos"	tsc						"useitem,tmp,nos,sock=3"			99	tri-stats4			10	10	tri-res4	75		30	30	nofreeze			1	1	allskills			3	6	barb	95		4	4	tsc																																																										0
																																																																																																									0
3 Socket Pelt Helm																																																																																																									0
1 Socket	1				100	16	362	2		2	"pelt,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	10		0	5	dual-res1	50		0	5	nofreeze	15		1	1	allskills	10		0	1						tsc																																																										0
1 Socket	1				100	16	362	4		2	"pelt,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	15		0	5	dual-res2	75		0	5	nofreeze	25		1	1	allskills	15		0	1						tsc																																																										0
2 Socket	1				100	16	362	6		2	"pelt,rar,nos"	tsc						"useitem,tmp,nos"				double-stats3	25		0	5	dual-res3	85		0	5	nofreeze	50		1	1	allskills	25		0	1	dru	15		0	1	tsc																																																										0
1 Socket	1				100	16	362	8		2	"pelt,rar,nos"	tsc						"useitem,tmp,nos"				double-stats4	50		0	5	dual-res4	95		0	10	nofreeze	75		1	1	allskills	50		0	1	dru	25		0	1	tsc																																																										0
1 Socket	1				100	16	362	10		2	"pelt,rar,nos"	tsc						"useitem,tmp,nos"				tri-stats1	50		0	10	dual-res5	95		5	10	nofreeze	85		1	1	allskills	50		1	1	dru	25		0	1	tsc																																																										0
2 Socket	1				100	16	362	12		2	"pelt,rar,nos"	tsc						"useitem,tmp,nos,sock=3"			99	tri-stats1	50		0	10	tri-res1	15		0	5	nofreeze	95		1	1	allskills	15		0	3	dru	50		0	1	tsc																																																										0
1 Socket	1				100	16	362	14		2	"pelt,rar,nos"	tsc						"useitem,tmp,nos,sock=3"			99	tri-stats2	50		3	10	tri-res2	25		5	10	nofreeze	95		1	1	allskills	65		0	3	dru	75		1	1	tsc																																																										0
1 Socket	1				100	16	362	16		2	"pelt,rar,nos"	tsc						"useitem,tmp,nos,sock=3"			99	tri-stats3			5	10	tri-res3	50		15	30	nofreeze			1	1	allskills	95		3	3	dru	85		2	2	tsc																																																										0
2 Socket	1				100	16	362	18		2	"pelt,rar,nos"	tsc						"useitem,tmp,nos,sock=3"			99	tri-stats4			10	10	tri-res4	75		30	30	nofreeze			1	1	allskills			3	6	dru	95		4	4	tsc																																																										0
																																																																																																									0
3 Socket Helm																																																																																																									0
1 Socket	1				100	16	362	2		2	"helm,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	10		0	5	dual-res1	50		0	5	nofreeze	15		1	1	allskills	10		0	1	allskills	10		0	1	tsc																																																										0
1 Socket	1				100	16	362	4		2	"helm,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	15		0	5	dual-res2	75		0	5	nofreeze	25		1	1	allskills	15		0	1	allskills	15		0	1	tsc																																																										0
2 Socket	1				100	16	362	6		2	"helm,rar,nos"	tsc						"useitem,tmp,nos"				double-stats3	25		0	5	dual-res3	85		0	5	nofreeze	50		1	1	allskills	25		0	1	allskills	25		0	1	tsc																																																										0
1 Socket	1				100	16	362	8		2	"helm,rar,nos"	tsc						"useitem,tmp,nos"				double-stats4	50		0	5	dual-res4	95		0	10	nofreeze	75		1	1	allskills	50		0	1	allskills	50		0	1	tsc																																																										0
1 Socket	1				100	16	362	10		2	"helm,rar,nos"	tsc						"useitem,tmp,nos"				tri-stats1	50		0	10	dual-res5	95		5	10	nofreeze	85		1	1	allskills	50		1	1	allskills	50		1	1	tsc																																																										0
2 Socket	1				100	16	362	12		2	"helm,rar,nos"	tsc						"useitem,tmp,nos,sock=2"			99	tri-stats1	50		0	10	tri-res1	15		0	5	nofreeze	95		1	1	allskills	15		0	3	allskills	15		0	3	tsc																																																										0
1 Socket	1				100	16	362	14		2	"helm,rar,nos"	tsc						"useitem,tmp,nos,sock=2"			99	tri-stats2	50		3	10	tri-res2	25		5	10	nofreeze	95		1	1	allskills	65		1	3	allskills	65		1	3	tsc																																																										0
1 Socket	1				100	16	362	16		2	"helm,rar,nos"	tsc						"useitem,tmp,nos,sock=2"			99	tri-stats3			5	10	tri-res3	50		15	30	nofreeze			1	1	allskills	95		1	2	allskills	95		1	2	tsc																																																										0
2 Socket	1				100	16	362	18		2	"helm,rar,nos"	tsc						"useitem,tmp,nos,sock=2"			99	tri-stats4			10	10	tri-res4	75		30	30	nofreeze			1	1	allskills			3	3	allskills			3	3	tsc																																																										0
																																																																																																									0
																																																																																																									0
																																																																																																									0
Rings	1				100	16	362	2		2	"ring,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	10		0	5	dual-res1	50		0	5	nofreeze	15		1	1	allskills	10		0	1	lifesteal			0	2	tsc																																																										0
Rings	1				100	16	362	4		2	"ring,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	15		0	5	dual-res2	75		0	5	nofreeze	25		1	1	allskills	15		0	1	lifesteal			0	10	tsc																																																										0
Rings	1				100	16	362	6		2	"ring,rar,nos"	tsc						"useitem,tmp,nos"				double-stats3	25		0	5	dual-res3	85		0	5	nofreeze	50		1	1	allskills	25		0	1	lifesteal			3	9	tsc																																																										0
Rings	1				100	16	362	8		2	"ring,rar,nos"	tsc						"useitem,tmp,nos"				double-stats4	50		0	5	dual-res4	95		0	10	nofreeze	75		1	1	allskills	50		0	1	lifesteal			6	9	tsc																																																										0
Rings	1				100	16	362	10		2	"ring,rar,nos"	tsc						"useitem,tmp,nos"				double-stats5	50		0	10	dual-res5	95		5	10	nofreeze	85		1	1	allskills	50		0	1	lifesteal			9	9	tsc																																																										0
Rings	1				100	16	362	12		2	"ring,rar,nos"	tsc						"useitem,tmp,nos,sock=1"			99	double-stats6	50		0	10	tri-res1	15		0	5	nofreeze	95		1	1	allskills	15		0	1	res-all-max	50	15	15	1	tsc																																																										0
Rings	1				100	16	362	14		2	"ring,rar,nos"	tsc						"useitem,tmp,nos,sock=1"			99	double-stats7	95		3	10	tri-res2	25		5	10	nofreeze	95		1	1	allskills	65		0	1	mag%	85		0	50	tsc																																																										0
Rings	1				100	16	362	16		2	"ring,rar,nos"	tsc						"useitem,tmp,nos,sock=1"			99	double-stats8			5	10	tri-res3	50		15	30	nofreeze			1	1	allskills	95		1	1	mag%			50	100	tsc																																																										0
Rings	1				100	16	362	18		2	"ring,rar,nos"	tsc						"useitem,tmp,nos,sock=1"			99	double-stats9			10	10	tri-res4	75		30	30	nofreeze			1	1	allskills			2	2	mag%			100	100	tsc																																																										0
																																																																																																									0
Amulets	1				100	16	362	2		2	"amu,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	10		0	5	dual-res1	50		0	5	regen-mana	25		0	5	hp/lvl	15		0	5	mag%	10		0	10	tsc																																																										0
Amulets	1				100	16	362	4		2	"amu,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	15		0	5	dual-res2	75		0	5	red-dmg	25		0	3	hp/lvl	25		0	5	mag%	15		0	20	tsc																																																										0
Amulets	1				100	16	362	6		2	"amu,rar,nos"	tsc						"useitem,tmp,nos"				double-stats3	25		0	5	dual-res3	85		0	5	red-dmg%	25		0	10	hp/lvl	35		0	5	mag%	25		0	30	tsc																																																										0
Amulets	1				100	16	362	8		2	"amu,rar,nos"	tsc						"useitem,tmp,nos"				double-stats4	50		0	5	dual-res4	95		0	10	balance1	25		0	25	hp/lvl	35		5	5	mag%	50		0	40	tsc																																																										0
Amulets	1				100	16	362	10		2	"amu,rar,nos"	tsc						"useitem,tmp,nos"				tri-stats1	50		0	5	dual-res5	95		5	10	balance1	25		0	25	hp/lvl	45		5	5	mag%	50		0	50	tsc																																																										0
Amulets	1				100	16	362	12		2	"amu,rar,nos"	tsc						"useitem,tmp,nos,sock=1"			99	tri-stats1	50		10	10	tri-res1	15		0	5	red-dmg	25		0	3	hp/lvl	50		7	7	mag%	15		10	60	tsc																																																										0
Amulets	1				100	16	362	14		2	"amu,rar,nos"	tsc						"useitem,tmp,nos,sock=1"			99	allstats	50		5	20	tri-res2	25		0	10	red-dmg	25		3	5	hp/lvl	75		8	8	mag%	65		10	70	tsc																																																										0
Amulets	1				100	16	362	16		2	"amu,rar,nos"	tsc						"useitem,tmp,nos,sock=1"			99	allstats	50		10	25	tri-res3	50		5	10	red-dmg	25		5	10	hp/lvl			20	20	mag%	95		50	80	tsc																																																										0
Amulets	1				100	16	362	18		2	"amu,rar,nos"	tsc						"useitem,tmp,nos,sock=1"			99	allstats	50		25	25	allres	75		10	10	red-dmg%			50	50	hp/lvl			20	20	mag%			100	100	tsc																																																										0
																																																																																																									0
2 Socket Belt	0																																																																																																								0
1 Socket	1				100	16	362	2		2	"belt,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	10		0	5	double-stats2	10		0	5	dual-res1	50		0	5											tsc																																																										0
1 Socket	1				100	16	362	4		2	"belt,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	15		0	5	double-stats2	15		0	5	dual-res2	75		0	5	tri-res1	15		0		balance1	25		0	25	tsc																																																										0
1 Socket	1				100	16	362	6		2	"belt,rar,nos"	tsc						"useitem,tmp,nos"				double-stats3	25		0	5	double-stats3	25		0	10	dual-res3	85		0	5	tri-res2	25		0	5	balance1	25		0	25	tsc																																																										0
2 Socket	1				100	16	362	8		2	"belt,rar,nos"	tsc						"useitem,tmp,nos"				double-stats4	50		0	5	double-stats4	50		10	10	dual-res4	95		0	10	tri-res3	50		0	5	balance	25		0	25	tsc																																																										0
2 Socket	1				100	16	362	10		2	"belt,rar,nos"	tsc						"useitem,tmp,nos"				double-stats5	50		0	10	tri-stats1	50		0	5	dual-res5	95		5	10	tri-res4	75		0	5	mag%	25		0	25	tsc																																																										0
2 Socket	1				100	16	362	12		2	"belt,rar,nos"	tsc						"useitem,tmp,nos,sock=2"			99	double-stats6	50		0	10	tri-stats1	50		0	10	dual-res6	95		7	10	nofreeze	95		1	1	cast1	25		10	25	tsc																																																										0
2 Socket	1				100	16	362	14		2	"belt,rar,nos"	tsc						"useitem,tmp,nos,sock=2"			99	double-stats7	95		3	10	tri-stats2	50		3	10	dual-res7	95		7	10	nofreeze	95		1	1	cast1	50		15	25	tsc																																																										0
2 Socket	1				100	16	362	16		2	"belt,rar,nos"	tsc						"useitem,tmp,nos,sock=2"			99	double-stats8			5	10	tri-stats3			5	10	dual-res8			10	10	tri-res3	95		10	10	fireskill	75		1	1	tsc																																																										0
2 Socket	1				100	16	362	18		2	"belt,rar,nos"	tsc						"useitem,tmp,nos,sock=2"			99	double-stats9			10	10	tri-stats4			10	10	dual-res9			10	10	tri-res4			15	15	allskills	85		2	2	tsc																																																										0
																																																																																																									0
3 Socket Gloves																																																																																																									0
1 Socket	1				100	16	362	2		2	"glov,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	10		0	5	double-stats2	10		0	5	dual-res1	50		0	5	swing1	25		0	25	mag%	25		0	25	tsc																																																										0
2 Socket	1				100	16	362	4		2	"glov,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	15		0	5	double-stats2	15		0	5	dual-res2	75		0	5	swing1	25		0	25						tsc																																																										0
2 Socket	1				100	16	362	6		2	"glov,rar,nos"	tsc						"useitem,tmp,nos"				double-stats3	25		0	5	double-stats3	25		0	10	dual-res3	85		0	5	swing1	25		0	25						tsc																																																										0
2 Socket	1				100	16	362	8		2	"glov,rar,nos"	tsc						"useitem,tmp,nos"				double-stats4	50		0	5	double-stats4	50		10	10	dual-res4	95		0	10	swing1	25		0	25						tsc																																																										0
3 Socket	1				100	16	362	10		2	"glov,rar,nos"	tsc						"useitem,tmp,nos"				double-stats5	50		0	10	tri-stats1	50		0	5	dual-res5	95		5	10	swing1	25		0	25						tsc																																																										0
3 Socket	1				100	16	362	12		2	"glov,rar,nos"	tsc						"useitem,tmp,nos,sock=3"			99	double-stats6	50		0	10	tri-stats1	50		0	10	tri-res1	85		0	10	swing1	25		0	25	cast1	25		10	25	tsc																																																										0
3 Socket	1				100	16	362	14		2	"glov,rar,nos"	tsc						"useitem,tmp,nos,sock=3"			99	double-stats7	95		3	10	tri-stats2	50		3	10	tri-res2	95		5	10	swing1	25		0	25	cast1	50		15	25	tsc																																																										0
3 Socket	1				100	16	362	16		2	"glov,rar,nos"	tsc						"useitem,tmp,nos,sock=3"			99	double-stats8			5	10	tri-stats3			5	10	tri-res3	95		10	10	swing1	25		0	25	allskills	50		2	2	tsc																																																										0
3 Socket	1				100	16	362	18		2	"glov,rar,nos"	tsc						"useitem,tmp,nos,sock=3"			99	double-stats9			10	10	tri-stats4			10	10	tri-res4			15	15	swing1	25		0	25	allskills	85		4	4	tsc																																																										0
																																																																																																									0
3 Socket Boots																																																																																																									0
1 Socket	1				100	16	362	2		2	"boot,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	10		0	5	dual-res1	50		0	5	move1	25		0	10	balance2	15		20	20	ac%	15		0	5	tsc																																																										0
2 Socket	1				100	16	362	4		2	"boot,rar,nos"	tsc						"useitem,tmp,nos"				double-stats2	15		0	5	dual-res2	75		0	5	move1	25		0	15	balance2	15		20	20	ac%	15		0	20	tsc																																																										0
